Headlines,negative,positive,neutral,overall
CCTV: Hindu activists threaten hotel staff not to serve halal food in Karnataka's Bhadravathi,0.167,0.0,0.833,-0.3818
CCTV: Hindu activists threaten hotel staff not to serve halal food in Karnataka's Bhadravathi,0.167,0.0,0.833,-0.3818
"Himachal Pradesh: Water rationing starts in Shimla amid heat wave, water shortage",0.154,0.0,0.846,-0.25
"Miss Universe Harnaaz gets body shamed for being ‘overweight’, hits back",0.366,0.0,0.634,-0.6369
"Imran Khan makes another gaffe, says US behind no trust vote",0.152,0.228,0.621,0.2732
Sara Ali Khan trolled for looking tired and visiting temple,0.244,0.0,0.756,-0.4404
'Distasteful dressing' comment: Urrfii hits out at Farah,0.0,0.0,1.0,0.0
Mouni Roys's alluring floral closet,0.0,0.0,1.0,0.0
South HITS which rocked B'Wood box office,0.0,0.0,1.0,0.0
5 women that were linked to Salman Khan,0.0,0.0,1.0,0.0
Stylish monokinis to rock this summer,0.0,0.0,1.0,0.0
Sehban Azim: Was judged for my skin tone,0.0,0.0,1.0,0.0
B'day boy Varun Sood raises temperatures,0.0,0.0,1.0,0.0
TV actors' funny incidents of April Fool’s Day,0.0,0.293,0.707,0.4404
IGT: Badshah confesses his liking for Nimrat,0.0,0.31,0.69,0.4019
Amazing looks of Roshni Singh you shouldn't miss,0.0,0.466,0.534,0.6421
Kriti Sanon's stunning pics in black outfits,0.0,0.302,0.698,0.3818
Gorgeous pictures of Kalyani Priyadarshan,0.0,0.5,0.5,0.6124
Keerthy Suresh & her Nyke’s adorable moments,0.0,0.39,0.61,0.4939
5 Star ACs That Provide Optimal Cooling At Low Electricity Expense; AC prices here,0.135,0.16,0.705,0.1027
Most Sought Kitchen Chimneys with Silent Operation,0.0,0.0,1.0,0.0
"Laptops under ₹60,000: Best picks for you when you are shopping online",0.0,0.276,0.724,0.6369
5-Star7 Kg washing machines: Best picks available online,0.0,0.375,0.625,0.6369
"Double Door Refrigerators Under ₹25,000: Finest Energy Efficient Options",0.0,0.412,0.588,0.5994
"55 Inch Ultra HD Smart TVs From Samsung, Sony, Mi, Redmi, Etc",0.0,0.197,0.803,0.4019
24 Inch Monitors That Are A Great Choice For Your Work From Home Setups,0.0,0.255,0.745,0.6249
"Earbuds For Everyone: Explore Options From boAt, OnePlus, JBL, etc",0.0,0.0,1.0,0.0
"Exclusive: Gautam Gambhir hugged me and said 'well played', says Ayush Badoni",0.0,0.412,0.588,0.6486
Mahendra Singh Dhoni quits as Chennai Super Kings skipper,0.0,0.328,0.672,0.5994
"Airthings Masters: After stunning Carlsen, Praggnanandhaa registers 2 more victories",0.0,0.245,0.755,0.3818
PBKS have the firepower to clinch maiden title: Bhanuka,0.0,0.0,1.0,0.0
"MI are slow starters, but it's still early days: Zaheer",0.0,0.0,1.0,0.0
'360-degree' Badoni a great find for India: LSG skipper Rahul,0.0,0.339,0.661,0.6249
Gambhir's reaction goes viral as LSG register maiden IPL win,0.0,0.297,0.703,0.5859
It was like Niagara Falls: Fleming on dew in CSK vs LSG game,0.0,0.172,0.828,0.3612
IPL: Evin Lewis lauds 'confident guy' Ayush Badoni,0.0,0.314,0.686,0.4939
In Pics: LSG pull off big chase to stun CSK,0.0,0.0,1.0,0.0
2nd ODI: Pakistan levels series vs Australia with record chase,0.0,0.0,1.0,0.0
GST collections at record high of Rs 1.42 lakh crore in March,0.0,0.0,1.0,0.0
"Amidst 43% spike in crude oil, fuel and LPG prices hiked again",0.252,0.0,0.748,-0.5719
Common man's pocket takes a hit as fuel and LPG prices hiked after 137 days,0.0,0.0,1.0,0.0
Commercial LPG price hiked by Rs 250 per cylinder,0.0,0.0,1.0,0.0
"RBI focused on growth, seen lagging on inflation fight",0.315,0.349,0.336,0.128
Cash-strapped Lebanon struggles to turn lights on for polling day,0.217,0.0,0.783,-0.3612
"IBPS Clerk XI Mains Result 2022 announced at ibps.in, download here",0.0,0.0,1.0,0.0
Common tech skills that are must in any industry,0.0,0.0,1.0,0.0
5 upcoming sectors in 2022,0.0,0.0,1.0,0.0
Words of Wisdom from the Giants - Career Advice from Top Entrepreneurs,0.0,0.366,0.634,0.6369
"Freelancing, using your free time productively to earn more",0.0,0.402,0.598,0.5719
6 homemade inexpensive pizza recipes,0.0,0.0,1.0,0.0
Watch: How to make Oreo Pop,0.0,0.0,1.0,0.0
Watch: How to make Peppery Potato Puffs,0.0,0.0,1.0,0.0
Watch: How to make Moong Dal Pakodi Chaat,0.0,0.0,1.0,0.0
Watch: How to make Red Velvet Tea Cake,0.0,0.0,1.0,0.0
Lebanese Garlic Sauce,0.0,0.0,1.0,0.0
Banana Cheela,0.0,0.0,1.0,0.0
Chamomile Milk,0.0,0.0,1.0,0.0
Boondi Ke Laddoo,0.0,0.0,1.0,0.0
Heart Choco Pops,0.0,0.0,1.0,0.0
Not losing weight? Look out for these mistakes,0.234,0.204,0.562,-0.0813
One of the prominent side effects of keto diet,0.0,0.223,0.777,0.3182
Rashmika sweats it out with THESE exercises,0.0,0.0,1.0,0.0
Randhir Kapoor's showing early signs of dementia,0.0,0.0,1.0,0.0
Harnaaz Sandhu opens up on Celiac disease,0.0,0.0,1.0,0.0
Lose weight with these five detox drinks,0.31,0.0,0.69,-0.4019
Tragic tale of abuse against doctors,0.643,0.0,0.357,-0.802
Emotional control: How to achieve it,0.0,0.242,0.758,0.1531
Samantha accepts challenge; shares workout video,0.0,0.659,0.341,0.5859
Vitamin K: Health benefits and sources,0.0,0.545,0.455,0.5859
Shehnaaz Gill drinks this homemade beverage,0.0,0.0,1.0,0.0
All about Jasmine Moosa,0.0,0.0,1.0,0.0
Here's what BB 3 contestants are doing,0.0,0.0,1.0,0.0
BB Malayalam 4: Dr. Robin lands in a fix,0.0,0.0,1.0,0.0
BB Malayalam 4: Daisy David lashes out at Blesslee,0.0,0.0,1.0,0.0
'Gantchhora' continues to top the TRP charts,0.0,0.231,0.769,0.2023
Nivedita Saraf is excited about new venture,0.0,0.286,0.714,0.34
Kavya Gowda recovers her hacked account,0.351,0.0,0.649,-0.4019
‘Montu Pilot’ set to entertain audience soon,0.0,0.277,0.723,0.3182
Mahindra Auto registers 65% sales growth in SUVs in March 2022,0.0,0.206,0.794,0.3818
2022 Jeep Meridian SUV India unveiled: Launch in June,0.0,0.0,1.0,0.0
"Mahindra, MG SUVs with adaptive cruise control and autonomous braking",0.0,0.0,1.0,0.0
"Honda City Hybrid unveil on April 14: Price, engine, motor, features and design",0.0,0.0,1.0,0.0
Citroen C3 India launch this year: What to expect,0.0,0.0,1.0,0.0
5 upcoming bikes to watch out for in India in 2022 under Rs 5 lakh,0.0,0.0,1.0,0.0
"IBPS Clerk XI Mains Result 2022 announced at ibps.in, download here",0.0,0.0,1.0,0.0
"SSC GD Constable Marks 2021 to be released today, check score card at ssc.nic.in",0.0,0.0,1.0,0.0
"JEE, NEET, CET entrance exams free coaching platform kicks off",0.0,0.268,0.732,0.5106
"Haryana board class 12 Hindi paper leaked, exam cancelled",0.381,0.0,0.619,-0.5106
"UPSC ESE Prelims 2022 result announced at upsc.gov.in, Mains on June 26; download result PDF here",0.0,0.0,1.0,0.0
Preparations in place for PM's Pariksha Pe Charcha,0.0,0.0,1.0,0.0
Gujarat IPS officer Sanjiv Bhatt case: U-turn by complainant,0.175,0.0,0.825,-0.1779
"Country's biggest party indulging in 'goondaism', says Delhi CM Arvind Kejriwal on vandalism outside his official residence",0.0,0.144,0.856,0.4019
'RRR' box office collection day 6: Ram Charan and Jr. NTR starrer inches towards 700 crores worldwide!,0.0,0.0,1.0,0.0
PM to attend Quad summit in US on Sept 24,0.0,0.0,1.0,0.0
The most bizarre outfits at Oscars 2022,0.302,0.0,0.698,-0.3804
Signs of pregnancy before a missed period,0.306,0.0,0.694,-0.296
Why readers are likely to be successful?,0.0,0.388,0.612,0.5859
Child shaming: Things not to say to your kids,0.0,0.0,1.0,0.0
Sugarless sweets made with fresh fruits,0.0,0.579,0.421,0.6705
‘Ready to discuss if India wants to buy anything from us’: Russian Foreign Minister Lavrov,0.0,0.0,1.0,0.0
MCC cancels mop-up round for medical PG admissions on SC’s directions,0.16,0.0,0.84,-0.2263
"Quashing of reservation in promotion to SC/ST employees may lead to unrest, multiple litigations: Centre to apex court",0.0,0.0,1.0,0.0
SC rejects Maharashtra plea to allow SIT to probe cases against Anil Deshmukh,0.199,0.118,0.683,-0.3182
‘India in favour of resolving disputes via diplomacy’: Jaishankar during meeting with Russian Foreign Minister Lavrov,0.102,0.267,0.631,0.5267
TMC MP Chhetri demands minority status for Hindus in Meghalaya,0.0,0.0,1.0,0.0
Heatwave in Northwest and Central India in April; below-normal temperatures in South,0.0,0.0,1.0,0.0
JDU general secretary Sanjay Jha rubbishes rumours of Nitish Kumar moving to Rajya Sabha,0.0,0.0,1.0,0.0
"As Opposition joins hands against K-Rail, CPM alleges ‘unholy political nexus’",0.0,0.0,1.0,0.0
India voice of developing nations on climate change: Environment Minister Bhupender Yadav in Lok Sabha,0.0,0.0,1.0,0.0
Parliament Budget Session Live Updates: Lok Sabha passes bill to include some tribal communities in ST list in four UP districts,0.0,0.0,1.0,0.0
"At home of killed militant, questions over path make way for acceptance",0.257,0.171,0.571,-0.3612
"Under new guidelines, Charak Shapath instead of Hippocratic oath for medical students",0.0,0.0,1.0,0.0
"Delhi, Maharashtra: Masks not must, but advisable",0.0,0.0,1.0,0.0
"If China breaches LAC again, Russia won’t help, says US Deputy NSA Daleep Singh",0.0,0.172,0.828,0.4019
"Historic, big step for peace: Northeast CMs",0.0,0.368,0.632,0.5423
Truss-Jaishankar faceoff over sanctions: ‘most Russian oil buyers in Europe’,0.0,0.0,1.0,0.0
"Now, Pokhriyal to be evicted, to make room for Scindia",0.0,0.0,1.0,0.0
MK Stalin seeks PM Modi’s nod to help Sri Lanka Tamils,0.0,0.213,0.787,0.4019
"Retiring MPs reminisce about past, advise on future",0.0,0.0,1.0,0.0
"Assam Rajya Sabha polls: Counting delayed, Congress suspends party MLA for violating whip",0.298,0.149,0.552,-0.4019
Sharad Pawar on The Kashmir Files: Such a film should not have been cleared for screening,0.085,0.0,0.915,-0.0762
"BJP, ally win both RS seats from Assam",0.0,0.352,0.648,0.5859
"5 Questions: Umesh G Jadhav, BJP MP from Karnataka’s Gulbarga constituency",0.0,0.0,1.0,0.0
Sonia Gandhi slams govt over NREGA cuts; ministers hit back,0.196,0.0,0.804,-0.296
Congress makes fresh appointments in Goa unit; hands over baton to “Generation Next”,0.0,0.161,0.839,0.3182
Ex-IPS officers hail Centre’s efforts in combating Maoist violence,0.331,0.105,0.565,-0.5859
"Family feud back, sidelined Shivpal looks out",0.286,0.0,0.714,-0.34
"Newsmaker: On the sidelines of raj path, Chirag now loses a Janpath address",0.173,0.0,0.827,-0.3182
‘Congress was expected to do better’: Tribal discontent simmers in Chhattisgarh,0.0,0.0,1.0,0.0
US criticises India on Russia talks as Lavrov visits Delhi,0.204,0.0,0.796,-0.3182
Russian Foreign Minister Lavrov arrives in India amid Moscow’s invasion of Ukraine,0.0,0.0,1.0,0.0
Fifteenth round of India-China talks to resolve Ladakh standoff ‘positive and constructive’: Chinese military,0.0,0.167,0.833,0.3818
Allahabad HC bail to students in T20 World Cup case: ‘Unity of India not a reed that can bend to slogans’,0.0,0.0,1.0,0.0
‘You will be in our thoughts’: RS Chairman Venkaiah Naidu bids farewell to 72 members of House,0.0,0.0,1.0,0.0
"SC directs Sharad Yadav to vacate his bungalow by May 31, furnish undertaking",0.0,0.0,1.0,0.0
"Newsmaker: At the helm of Manipur Congress post poll rout, K Meghachandra braces for uphill task",0.0,0.0,1.0,0.0
"Prices of EVs to be equal of petrol cars in 2 years, says Nitin Gadkari",0.0,0.0,1.0,0.0
"Two prolonged heatwaves, a missed cyclone and wet spells, March ends as a month of extremes",0.145,0.0,0.855,-0.296
"Amid hijab-halal row, as Karnataka BJP raises pitch, speculation of early polls",0.0,0.0,1.0,0.0
"Govt removes AFSPA from parts of Nagaland, Assam and Manipur",0.0,0.0,1.0,0.0
"Rajya Sabha bids goodbye to 72 members, PM hails contribution",0.0,0.0,1.0,0.0
CJI N V Ramana launches software to transmit court orders swiftly,0.0,0.216,0.784,0.296
‘Shut up’: Ramdev lashes out at journalist over question regarding fuel price hike,0.0,0.0,1.0,0.0
"Congress MP wants ‘Pakistan-like’ law to limit number of guests, dishes at weddings",0.0,0.098,0.902,0.0772
"Report: 67% abortions in India unsafe, cause nearly 8 deaths every day",0.0,0.0,1.0,0.0
"Weather update: Heatwave conditions to continue across North India today, some respite from tomorrow",0.0,0.0,1.0,0.0
"Destroying social fabric, peace & co-existence to win poll is unacceptable: Karnataka BJP MLC Vishwanath",0.276,0.305,0.418,0.1779
Supreme Court dismisses plea challenging use of TTD property for Sri Balaji district’s Collectorate,0.0,0.302,0.698,0.6369
"Oppn accuses govt of framing labour codes without consulting trade unions, favouring corporates",0.153,0.146,0.701,-0.0258
"Adiwasis in Sukma protest Ramayana recitation competition, writes to Governor",0.182,0.0,0.818,-0.25
UK Foreign Secy Liz Truss to arrive in India today,0.0,0.0,1.0,0.0
SC asks DGHS to correct anomalies in NEET-PG All India Quota counselling,0.0,0.0,1.0,0.0
"Sariska Tiger Reserve: Stinging bees, smoke and a steep climb — an uphill battle to control fire",0.278,0.0,0.722,-0.6124
"Sariska Tiger Reserve not fire-prone, but burned despite early warnings",0.0,0.206,0.794,0.3252
"PM speaks to Rajasthan CM, offers all help to douse blaze",0.0,0.213,0.787,0.4019
"5 Questions: Arun Kumar Sagar, BJP MP from Uttar Pradesh’s Shahjahanpur",0.0,0.0,1.0,0.0
"BJP encashing valour of ex-Servicemen for politics, later forgets them: Congress",0.0,0.0,1.0,0.0
Rajya Sabha members seek answers on plan for MP quota in KVs,0.0,0.0,1.0,0.0
"LS clears Bill to amend chartered accountancy, cost accountancy, company secretary laws",0.0,0.106,0.894,0.0772
Uproar in Lok Sabha as TMC MP alleges ‘misuse’ of central agencies,0.0,0.0,1.0,0.0
No intention to make social media users’ verification a must: Govt,0.196,0.0,0.804,-0.296
"Lok Sabha passes MCD Bill, Amit Shah says BJP workers not afraid",0.0,0.0,1.0,0.0
German NSA: Turmoil if countries define geography through history,0.238,0.0,0.762,-0.3612
Sale of 20th tranche of electoral bonds to begin on April 1,0.0,0.0,1.0,0.0
Kerala seeks US support to establish centres of excellence in higher education sector,0.0,0.382,0.618,0.7783
Rajya Sabha passes Bill to remove Bhogta caste from SC list,0.0,0.0,1.0,0.0
Govt announces merger of all film bodies under National Film Development Corporation,0.0,0.0,1.0,0.0
"AAP marks Jammu presence with Doda rally; rivals take note, watch ranks",0.0,0.0,1.0,0.0
"Newsmaker: Narendranath Chakraborty, MLA banned from Asansol by-poll campaign an old TMC hand",0.174,0.186,0.64,0.0516
Polls in J&K after delimitation exercise: Amit Shah,0.0,0.0,1.0,0.0
Panel approves procurement of 15 light combat helicopters,0.216,0.243,0.541,0.0772
Top Odisha officers in line of Oppn fire for making a beeline to felicitate Naveen,0.148,0.111,0.741,-0.1531
Govt does not intend to make social media users’ verification mandatory: Minister,0.0,0.106,0.894,0.0772
Kerala’s new policy sets up wider availability of liquor in state,0.0,0.0,1.0,0.0
Govt sends team to evict Chirag from bungalow allotted to his late father and ex-minister Ram Vilas Paswan,0.0,0.0,1.0,0.0
"Lok Sabha passes Chartered Accountants, the Cost and Works Accountants and the Company Secretaries (Amendment) Bill, 2021",0.0,0.0,1.0,0.0
"Difficult for character actors to become hero, heroine again: Gadkari",0.149,0.435,0.417,0.7003
"Newsmaker: Alliance with Goa Congress was unenthusiastic; Oppn unity cannot just be a hashtag, says Vijai Sardesai",0.0,0.0,1.0,0.0
19-year-old woman killed in Vadodara,0.529,0.0,0.471,-0.6705
"With two more successful tests, Army version of MRSAM completes trials",0.0,0.29,0.71,0.624
"Kerala CM Vijayan writes to PM Modi, urges him to look into deportation of anthropologist Filippo Osella",0.0,0.0,1.0,0.0
"Uttarakhand CM Dhami allots portfolios, keeps over two dozen departments with himself",0.0,0.0,1.0,0.0
Union minister Nitin Gadkari reaches Parliament in green hydrogen-powered car,0.0,0.118,0.882,0.0516
"Lakhimpur Kheri violence: On plea to cancel MoS Mishra son’s bail, SC seeks UP govt stand",0.303,0.0,0.697,-0.7269
Watch: Woman hurls bomb at CRPF bunker in Kashmir’s Sopore,0.262,0.0,0.738,-0.4939
"India logs 1,233 new COVID-19 cases",0.0,0.0,1.0,0.0
Konkan Railway completes electrification of entire 741-km route; CRS nod obtained,0.0,0.0,1.0,0.0
Questions over stability of world order: PM Modi at BIMSTEC summit,0.0,0.0,1.0,0.0
"Newsmaker: Its footprint shrinking, Gujarat tribal party hopes to find a new ally in AAP",0.0,0.314,0.686,0.6705
"Heatwave to continue in Delhi, Rajasthan; light rain in Kerala, Northeast: IMD",0.0,0.0,1.0,0.0
"Exercise increased caution while travelling to India, says new US travel advisory",0.0,0.16,0.84,0.2732
"‘Backwards, SCs & minorities have still not understood their rights’: SBSP president Om Prakash Rajbhar",0.0,0.0,1.0,0.0
"Parliament Budget Session Highlights: Budgetary allocation for MGNREGA cut despite scheme’s benefits during pandemic, Sonia Gandhi says in LS",0.201,0.0,0.799,-0.508
"In Yogi Cabinet 2.0, newcomers get important portfolios",0.0,0.205,0.795,0.2023
Two crore families in rural India given pucca houses: PM Modi,0.0,0.0,1.0,0.0
34 non-J&K residents have bought land in UT: Govt in Lok Sabha,0.0,0.0,1.0,0.0
"NREGS wages revised, less than 5 per cent hike in 21 states, Union Territories",0.0,0.0,1.0,0.0
PM in Bengal address: Violent intimidation against democracy,0.528,0.0,0.472,-0.7717
Workshops in schools needed for awareness on child abuse: DMK MP,0.296,0.0,0.704,-0.6369
Not approached by anyone over Presidential elections: Patnaik,0.0,0.0,1.0,0.0
"Central Vista revamp: Rs 1,119-crore bid lowest for Executive Enclave that will house new PMO",0.157,0.0,0.843,-0.3818
"Chartered Accountants Bill: Amendment an attempt to tinker with ICAI autonomy, says Opposition",0.0,0.0,1.0,0.0
5 Questions: BJP MP Subhash Chandra Baheria,0.0,0.0,1.0,0.0
US Deputy NSA likely to visit this week,0.0,0.0,1.0,0.0
"Central government to sell up to 1.5% in ONGC to raise Rs 3,000 crore",0.0,0.0,1.0,0.0
Halal food is ‘economic jehad’: BJP gen secy C T Ravi,0.0,0.0,1.0,0.0
"Indian student Harjot Singh, who was shot in Kyiv, discharged from hospital",0.0,0.0,1.0,0.0
"Finance minister underlines growth, flags war challenges: Oil prices, supply disruption",0.37,0.225,0.405,-0.5423
"Over 1,200 paramilitary troopers died by suicide in last 10 years: govt",0.448,0.0,0.552,-0.8442
BJP only party that respects all former PMs: Narendra Modi,0.0,0.385,0.615,0.6124
The fishing scheme that landed VIP leader Mukesh Sahani in troubled waters,0.176,0.237,0.587,0.2577
"‘Mega Science Vision Document-2035 to make students industry-ready, employable’",0.0,0.2,0.8,0.25
"Divided at the top and weak within, Odisha Congress’s battle for survival continues",0.318,0.104,0.578,-0.5719
"Newsmaker: 13 years an outsider, the curious case of Shashi Tharoor",0.0,0.187,0.813,0.3182
"Lakhimpur Kheri case: No attack on witness, altercation was over Holi colours, UP govt tells SC",0.275,0.0,0.725,-0.6486
SC order on developmental projects applicable not just to SilverLine: Kerala HC,0.0,0.0,1.0,0.0
Kerala HC denies bail to prime accused in 2017 actress assault case,0.494,0.0,0.506,-0.8316
"10 BKU members arrested for rioting, Rakesh Tikait protests",0.417,0.0,0.583,-0.6124
29 cases of illegal import of e-waste detected since 2019: Centre tells Parliament,0.231,0.0,0.769,-0.5574
"Bharat Bandh: Despite court intervention, attendance low in Kerala govt offices on day 2",0.149,0.0,0.851,-0.2732
PM Modi asks BJP MPs to highlight welfare measures in fortnight dedicated to ‘social justice’,0.0,0.293,0.707,0.6597
"Once a weapon in its arsenal, bandhs now a no-no for TMC",0.196,0.0,0.804,-0.296
Bengal Assembly pandemonium: A look at the other infamous scenes,0.0,0.0,1.0,0.0
"Birth anniversary of Lingayat seer likely to be show of strength in Karnataka BJP for sidelined Yediyurappa, son",0.0,0.158,0.842,0.4939
Nitish Kumar joining Rajya Sabha? Close aide rubbishes rumours,0.0,0.0,1.0,0.0
"Exclusive | Congress will form govt in Goa within 10-15 months, says leader Michael Lobo",0.0,0.103,0.897,0.128
Two coins in two bowls: Read what PM Modi said at Pariksha Pe Charcha,0.0,0.0,1.0,0.0
India staying in touch with Russia beneficial for both nations: Jaishankar,0.0,0.225,0.775,0.4404
DMK MP to move private member bill seeking fixed time limit for Governor to decide on bills,0.0,0.0,1.0,0.0
"Suman Paul, sole TMC corporator in Tripura, joins BJP",0.0,0.0,1.0,0.0
TMC mocks BJP's 'acche din' with Oscars slapgate meme on April Fool's day,0.2,0.0,0.8,-0.4588
"Patient bitten by rat in Telangana hospital, 2 doctors suspended",0.279,0.0,0.721,-0.4767
"Tension in Telangana's Jogulamba Gadwal, Ambedkar statue set on fire as two groups clash",0.281,0.0,0.719,-0.5719
Will strip you off uniform: 2 BJP leaders threaten police in Bengal's Bankura,0.191,0.0,0.809,-0.3818
19-year-old student dies by suicide over caste-based harassment by college authorities in TN,0.421,0.0,0.579,-0.8402
"Delhi HC asks police to preserve CCTV footage, file status report on vandalism outside CM Kejriwal's residence",0.0,0.0,1.0,0.0
Pages,0.0,0.0,1.0,0.0
ED arrests Nagpur lawyer who filed plea against Fadnavis in money laundering case,0.195,0.0,0.805,-0.4404
"Free electricity, increased health insurance amount: Rajasthan govt announces slew of public welfare measures",0.0,0.31,0.69,0.6597
Former J&K minister Babu Singh's name comes up in hawala case,0.0,0.0,1.0,0.0
"This is language of coercion, not diplomacy: Former UN envoy on US concern over India-Russia trade",0.0,0.0,1.0,0.0
"Amid Ukraine war, Russian Foreign Minister Sergey Lavrov arrives in New Delhi",0.262,0.0,0.738,-0.5994
"Rajya Sabha polls: NDA bags 2 seats in Assam, 1 in Tripura; Congress gets 1 in Kerala",0.0,0.0,1.0,0.0
"Aviation turbine fuel price hiked to all-time high of Rs 2,258.54 per kilolitre",0.0,0.0,1.0,0.0
Punjab govt paid pest-affected farmers less than those whose crops were razed for CM swearing-in: Oppn,0.0,0.0,1.0,0.0
Medical oath to be replaced by Charak Shapath? National Medical Commission clarifies,0.0,0.147,0.853,0.2263
Today's News LIVE Updates | Nepal CM Deuba meets BJP chief JP Nadda at party HQ in Delhi,0.0,0.259,0.741,0.6408
PM Modi assured appropriate action on Tamil Nadu’s demands: CM Stalin,0.0,0.2,0.8,0.3612
Bengal bypolls: TMC files complaint with EC against BJP candidate Agnimitra Paul,0.167,0.0,0.833,-0.296
Pages,0.0,0.0,1.0,0.0
"Bombay HC directs Rakesh Wadhawan, accused in PMC bank fraud case, to be shifted back to KEM hospital",0.273,0.0,0.727,-0.7184
Malegaon blast case: Bombay HC rejects Lt Col Purohit’s appeal seeking a stay on the trial,0.186,0.0,0.814,-0.4939
NARI-ICMR moves ahead with phase 3 trials for world’s first TB vaccine,0.0,0.0,1.0,0.0
"Russia won't come to India’s defence if China violates LAC again, says US Deputy NSA",0.186,0.079,0.734,-0.4404
Intend to remain engaged with China on issue of trans-border rivers to safeguard our interests: Govt,0.0,0.36,0.64,0.743
FIR against ministers for brandishing swords: Maharashtra chief secretary to look into matter,0.0,0.084,0.916,0.0258
"I-T dept uncovers irregularities to the tune of Rs 800 crore after raids on Hero Motocorp, others",0.0,0.184,0.816,0.5574
"EAM Jaishankar, UK counterpart hold bilateral talks, Ukraine war high on agenda",0.262,0.0,0.738,-0.5994
Police arrests woman who hurled petrol bomb at CRPF camp in J&K's Sopore,0.357,0.0,0.643,-0.7269
